"TP_PRESENCA_CN";"TP_PRESENCA_CH";"TP_PRESENCA_LC";"TP_PRESENCA_MT";"NU_NOTA_CN";"NU_NOTA_CH";"NU_NOTA_LC";"NU_NOTA_MT";"TP_STATUS_REDACAO";"NU_NOTA_REDACAO";"CO_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"SG_UF_RESIDENCIA";"TP_DEPENDENCIA_ADM_ESC";"TP_LOCALIZACAO_ESC";"NU_IDADE";"TP_SEXO";"TP_ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q006";"Q024";"Q010";"Q025";"Q027"
1;1;1;1;385;487,1;458,6;449,1;1;560;3506003;"Bauru";"SP";"";"";34;"M";1;1;1;0;0;0;1;0;0;0;0;0;0;"B";"B";"D";"B";"B";"B";"A"
1;1;1;1;525,1;432,4;510,3;449,1;1;740;2611606;"Recife";"PE";"";"";20;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"B";"C";"A";"B";"E"
1;1;1;1;657,1;697,6;655,1;729,3;1;940;2307304;"Juazeiro do Norte";"CE";"";"";23;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"F";"F";"C";"B";"A";"B";"A"
1;1;1;1;584,8;670,5;620,3;703,5;1;860;3549805;"S<e3>o Jos<e9> do Rio Preto";"SP";"";"";18;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"C";"B";"A";"B";"A"
1;1;1;1;418,3;608,8;528,2;477,9;1;560;1302603;"Manaus";"AM";"";"";44;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"D";"E";"E";"B";"A";"B";"A"
1;1;1;1;528,7;667;537,8;747,7;1;320;3509502;"Campinas";"SP";"";"";59;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"D";"E";"K";"D";"C";"B";"C"
1;1;1;1;543,8;668,2;552,6;646,7;1;700;3510906;"C<e1>ssia dos Coqueiros";"SP";"";"";19;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"C";"B";"B";"B";"B";"A"
1;1;1;1;449,9;537,3;455,5;497;1;360;2607901;"Jaboat<e3>o dos Guararapes";"PE";"2";"1";19;"M";2;2;3;0;0;0;0;0;0;0;1;0;0;"E";"E";"C";"B";"A";"B";"A"
1;1;1;1;546;615,3;532;669,5;1;680;2314102;"Vi<e7>osa do Cear<e1>";"CE";"2";"1";21;"M";2;2;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"B";"A";"A";"B";"A"
1;1;1;1;439,6;490,8;531,9;568,8;1;420;1303957;"S<e3>o Sebasti<e3>o do Uatum<e3>";"AM";"";"";18;"F";3;1;3;1;0;0;0;0;0;0;0;0;0;"B";"F";"C";"A";"A";"A";"A"
1;1;1;1;397,2;609,2;504,7;442;1;720;1505304;"Oriximin<e1>";"PA";"";"";16;"F";3;1;1;1;0;0;0;0;0;0;0;0;0;"C";"G";"A";"B";"A";"A";"A"
1;1;1;1;398,3;522,7;464;426,3;1;320;2202208;"Campo Maior";"PI";"";"";37;"M";1;1;3;0;0;0;0;0;0;1;0;0;0;"C";"C";"D";"B";"A";"B";"A"
1;1;1;1;477,7;617,8;533,5;426,2;1;360;5103403;"Cuiab<e1>";"MT";"";"";21;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"C";"E";"D";"B";"A";"B";"A"
1;1;1;1;501,4;628,1;566,7;476,9;1;820;4216602;"S<e3>o Jos<e9>";"SC";"2";"1";17;"F";2;2;1;0;0;0;1;0;0;0;0;0;0;"H";"E";"A";"B";"B";"B";"A"
